player,runs,avg,sr
ViratKohli,5412,37.84,131.61
Suresh Raina,5368,33.34,137.14
Rohit Sharma,4898,31.6,130.82
David Warner,4706,43.17,142.39
Shikhar Dhawan,4579,33.42,124.8
Chris Gayle,4484,41.13,151.02
MS Dhoni,4432,42.2,137.85
Robin Uthappa,4411,28.83,130.5
AB de Villiers,4395,39.95,151.23
Gautam Gambhir,4217,31.23,123.88
Ajinkya Rahane,3820,32.93,121.92
Dinesh Karthik,3654,27.06,129.8
Shane Watson,3575,31.08,139.53
Ambati Rayudu,3300,28.69,125.95
Yusuf Pathan,3204,29.12,142.97
Brendon McCullum,2880,27.69,131.74
Parthiv Patel,2848,22.6,120.78
Manish Pandey,2843,29.3,120.82
Kieron Pollard,2755,28.69,146.77
Yuvraj Singh,2750,24.77,129.71
