player,wkts,avg,econ
LasithMalinga,170,19.8,7.14
Amit Mishra,157,24.19,7.35
Harbhajan Singh,150,26.44,7.05
Piyush Chawla,150,27.14,7.82
Dwayne Bravo,147,24.6,8.39
Bhuvneshwar Kumar,133,23.71,7.24
Ravichandran Ashwin,125,26.48,6.79
Sunil Narine,122,23.31,6.67
Umesh Yadav,119,29.37,8.45
Ravindra Jadeja,108,29.18,7.57
Ashish Nehra,106,23.53,7.84
Vinay Kumar,105,28.24,8.39
Zaheer Khan,102,27.27,7.58
Yuzvendra Chahal,100,23.18,7.78
Dale Steyn,96,24.73,6.76
Sandeep Sharma,95,23.91,7.81
Shane Watson,92,29.15,7.93
Mohit Sharma,91,26.64,8.41
Praveen Kumar,90,36.12,7.72
RP Singh,90,25.97,7.9
