match_id,season,match_number,stage,date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_score,first_innings_wickets,first_innings_overs,second_innings_score,second_innings_wickets,second_innings_overs,result,winner,win_by,win_margin,player_of_match,umpire1,umpire2,is_day_night
M0001,2008,1,League,2008-03-13,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,196,4,18.0,115,8,15.4,normal,Kings XI Punjab,runs,81,Moeen Taylor,Aleem Dar,Marais Erasmus,False
M0002,2008,2,League,2008-03-14,Greenfield Intl Stadium,Thiruvananthapuram,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,151,4,19.2,161,3,18.6,normal,Kolkata Knight Riders,wickets,7,Shai Amla,Michael Gough,Simon Taufel,True
M0003,2008,3,League,2008-03-15,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,153,6,18.1,72,2,19.0,normal,Chennai Super Kings,runs,81,Lungi Warner,KN Ananthapadmanabhan,Michael Gough,True
M0004,2008,4,League,2008-03-16,DY Patil Stadium,Navi Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,field,244,4,18.3,237,1,17.4,normal,Deccan Chargers,runs,7,Denesh Cummins,Kumar Dharmasena,Simon Taufel,False
M0005,2008,5,League,2008-03-17,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,236,5,18.8,205,4,15.4,normal,Kolkata Knight Riders,runs,31,Ollie Siraj,Sundaram Ravi,KN Ananthapadmanabhan,False
M0006,2008,6,League,2008-03-18,Ekana Cricket Stadium,Lucknow,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,159,5,18.7,169,1,16.4,normal,Delhi Daredevils,wickets,6,Trent Sharma,Kumar Dharmasena,Virender Sharma,True
M0007,2008,7,League,2008-03-20,Arun Jaitley Stadium,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,219,9,18.6,226,4,16.2,normal,Delhi Daredevils,wickets,4,Ibrahim Ngidi,CK Nandan,Sundaram Ravi,False
M0008,2008,8,League,2008-03-21,JSCA Intl Stadium Complex,Ranchi,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,143,5,5.3,0,0,0.0,no result,,,0,Reece Markram,Ulhas Gandhe,S Ravi,False
M0009,2008,9,League,2008-03-23,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,190,6,18.5,191,8,18.3,normal,Kolkata Knight Riders,wickets,3,James Riaz,Marais Erasmus,Virender Sharma,False
M0010,2008,10,League,2008-03-25,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,111,8,19.8,120,1,16.5,normal,Kolkata Knight Riders,wickets,1,Imran Ferguson,Chris Gaffaney,AK Chaudhary,False
M0011,2008,11,League,2008-03-27,M. A. Chidambaram Stadium,Chennai,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,199,7,18.4,193,9,18.5,normal,Mumbai Indians,runs,6,KL Brewis,AK Chaudhary,Rod Tucker,False
