player_id,player_name,nationality,dob_year,batting_style,bowling_style,playing_role,ipl_debut_season,last_season_played,is_capped_international,base_price_lakh,highest_auction_price_lakh
P0001,Umesh Cummins,India,1981,Right-hand bat,,Batsman,2008,2018,True,75,100
P0002,Jofra Natarajan,South Africa,1991,Right-hand bat,Slow left-arm orthodox,Bowler,2011,2019,False,100,405
P0003,Aaron Buttler,India,2002,Right-hand bat,Left-arm fast,All-Rounder,2024,2025,True,20,105
P0004,Shadab Finch,Australia,1990,Right-hand bat,,Batsman,2008,2017,True,50,505
P0005,Reece Ashraf,South Africa,2002,Left-hand bat,Right-arm fast,Bowler,2023,2025,True,200,710
P0006,Lungi Ashwin,India,1999,Right-hand bat,Left-arm orthodox,Bowler,2020,2025,True,150,1220
P0007,Ben Pandey,India,1998,Right-hand bat,Right-arm leg break,All-Rounder,2018,2025,False,50,515
P0008,Jofra Jadeja,India,1996,Right-hand bat,Right-arm medium,All-Rounder,2018,2022,False,150,975
P0009,Kuldeep Ashwin,Australia,2001,Right-hand bat,,Batsman,2024,2025,True,100,540
P0010,Devon Sundar,India,1983,Left-hand bat,Right-arm medium,Bowler,2008,2018,True,20,105
P0011,Kieron Samson,South Africa,1981,Right-hand bat,,Batsman,2008,2021,True,150,710
P0012,Jos Ashwin,Nepal,2002,Left-hand bat,,Batsman,2021,2025,True,20,210
P0013,Umesh Natarajan,Australia,2002,Right-hand bat,Left-arm fast,Bowler,2019,2025,True,50,320
P0014,Faheem Tahir,Zimbabwe,1980,Right-hand bat,,Batsman,2008,2022,True,20,235
P0015,Trent Boult,India,2005,Left-hand bat,Left-arm fast,All-Rounder,2021,2025,False,100,930
P0016,Krunal Tahir,India,1994,Right-hand bat,Left-arm orthodox,Bowler,2018,2020,True,40,140
P0017,Ajinkya Saha,South Africa,1979,Right-hand bat,,Batsman,2008,2010,True,20,210
P0018,Quinton Ngidi,South Africa,1996,Right-hand bat,Left-arm fast,All-Rounder,2020,2024,True,200,1240
P0019,Glenn Maxwell,Australia,2001,Right-hand bat,Right-arm leg break,All-Rounder,2018,2025,True,150,1775
P0020,Mohammad van der Dussen,India,1995,Left-hand bat,,Batsman,2019,2022,True,75,225
P0021,Harry Yadav,India,1998,Left-hand bat,Right-arm fast-medium,Bowler,2015,2017,True,200,2065
P0022,Nicholas Chahar,India,1978,Right-hand bat,,Batsman,2008,2013,True,200,1925
P0023,Ambati van der Dussen,India,1987,Right-hand bat,,Wicketkeeper-Batsman,2008,2009,True,100,910
P0024,Babar Gill,India,1994,Right-hand bat,,Batsman,2012,2025,True,40,70
P0025,Reece de Kock,India,1997,Left-hand bat,Left-arm fast-medium,Bowler,2014,2024,True,20,110
P0026,Alzarri Azam,India,1990,Right-hand bat,,Wicketkeeper-Batsman,2009,2020,True,150,645
P0027,Marcus Yadav,USA,1980,Right-hand bat,,Batsman,2008,2017,True,50,125
P0028,Rishabh Rabada,South Africa,1997,Right-hand bat,Right-arm fast-medium,Bowler,2014,2025,False,200,1420
P0029,Mitchell Conway,India,1987,Left-hand bat,,Batsman,2008,2020,True,50,160
P0030,AB Natarajan,India,1991,Left-hand bat,Right-arm fast,Bowler,2012,2013,True,20,95
P0031,AB Buttler,England,1981,Right-hand bat,Right-arm leg break,All-Rounder,2008,2023,True,150,1640
P0032,Mark Riaz,India,1989,Right-hand bat,Left-arm fast,Bowler,2008,2023,True,50,165
P0033,Mitchell Ali,Nepal,2001,Left-hand bat,Right-arm leg break,All-Rounder,2020,2025,False,40,420
P0034,Dawid Bairstow,West Indies,1991,Right-hand bat,,Wicketkeeper-Batsman,2011,2016,True,40,385
P0035,Harry Jadeja,India,2004,Right-hand bat,,Wicketkeeper-Batsman,2024,2025,True,20,165
P0036,Lungi Pant,Australia,1999,Right-hand bat,,Wicketkeeper-Batsman,2021,2022,True,20,215
P0037,Shikhar de Villiers,South Africa,1988,Right-hand bat,,Batsman,2011,2021,False,100,225
P0038,Moeen du Plessis,Pakistan,1995,Right-hand bat,,Batsman,2015,2021,False,75,135
P0039,Mohammad Hazlewood,Australia,1999,Left-hand bat,,Batsman,2022,2025,True,75,650
P0040,Moeen Gaikwad,England,1987,Right-hand bat,Left-arm fast,All-Rounder,2010,2019,True,200,200
P0041,Gulbadin Zampa,India,1984,Right-hand bat,Left-arm wrist spin,Bowler,2008,2021,False,200,1820
P0042,Marco Sundar,West Indies,2002,Right-hand bat,Right-arm medium,All-Rounder,2022,2025,True,50,175
P0043,Jasprit Pandya,Australia,1998,Right-hand bat,,Batsman,2018,2025,True,150,785
P0044,Martin Wood,New Zealand,1985,Left-hand bat,Right-arm medium,All-Rounder,2008,2021,True,150,1005
P0045,Kagiso Williamson,Australia,1995,Left-hand bat,Slow left-arm orthodox,Bowler,2017,2025,False,75,580
P0046,Denesh Shaw,New Zealand,1993,Right-hand bat,Left-arm fast,All-Rounder,2017,2022,True,200,745
P0047,Nathan Klaasen,India,2000,Right-hand bat,Right-arm offbreak,Bowler,2021,2025,False,50,235
P0048,David Conway,South Africa,1980,Right-hand bat,,Batsman,2008,2015,True,50,350
P0049,Liam Gaikwad,Sri Lanka,2002,Left-hand bat,Right-arm fast,Bowler,2025,2025,True,20,225
P0050,Rashid Gaikwad,Afghanistan,1993,Left-hand bat,Left-arm fast-medium,Bowler,2013,2018,True,75,475
P0051,Sanju Pope,Bangladesh,1997,Left-hand bat,Left-arm wrist spin,All-Rounder,2014,2025,False,75,565
P0052,David Anderson,India,1990,Left-hand bat,Left-arm fast,Bowler,2012,2016,False,75,345
P0053,Shoaib Ngidi,Sri Lanka,1993,Left-hand bat,Right-arm offbreak,All-Rounder,2010,2022,False,100,155
P0054,Chris Wood,New Zealand,1985,Left-hand bat,,Batsman,2008,2022,True,20,155
P0055,Jason Hales,South Africa,2002,Left-hand bat,,Batsman,2024,2025,False,100,770
P0056,Pat Klaasen,England,1987,Left-hand bat,Right-arm medium,All-Rounder,2010,2017,True,150,475
P0057,Mark Malan,Sri Lanka,1997,Right-hand bat,,Batsman,2015,2025,True,100,960
P0058,Ibrahim Broad,India,1991,Right-hand bat,Left-arm orthodox,Bowler,2015,2017,True,75,870
P0059,Mark Ashwin,Ireland,1986,Right-hand bat,Right-arm fast-medium,All-Rounder,2010,2018,True,75,755
P0060,Shaheen Rabada,India,1992,Right-hand bat,Left-arm wrist spin,All-Rounder,2015,2021,True,20,130
P0061,Nicholas Rashid,Afghanistan,2000,Right-hand bat,Right-arm offbreak,Bowler,2021,2025,True,20,135
P0062,Quinton Coetzee,South Africa,1998,Right-hand bat,Left-arm medium,Bowler,2022,2025,True,200,240
P0063,Mohammad Brook,Australia,1994,Right-hand bat,,Batsman,2016,2023,True,150,1060
P0064,Andre Nortje,India,2001,Right-hand bat,,Batsman,2020,2024,True,40,365
P0065,Ajinkya Brewis,Sri Lanka,1987,Right-hand bat,Right-arm medium,Bowler,2008,2014,False,40,175
P0066,Trent Ngidi,South Africa,1982,Right-hand bat,,Batsman,2008,2010,True,200,225
P0067,Dwayne Dhawan,Zimbabwe,1993,Left-hand bat,,Batsman,2011,2025,True,20,110
P0068,Shardul Topley,Zimbabwe,1980,Right-hand bat,,Batsman,2008,2010,True,100,940
P0069,Matthew Hazlewood,Bangladesh,1987,Right-hand bat,,Batsman,2010,2015,True,100,785
P0070,Adam Maxwell,India,1980,Right-hand bat,,Wicketkeeper-Batsman,2008,2012,True,40,285
P0071,Naveen Rahane,India,2000,Right-hand bat,Right-arm fast,All-Rounder,2021,2025,False,200,1200
